Trial,Attempts
6470,3464
2899,30494
7307,8742
3719,2300
5780,29313
8528,40777
1431,67964
3989,11522
4329,78178
8991,46854
9689,493394
5697,107495
3489,148676
6799,84940
2977,54887
4428,80852
2167,58527
3953,53313
3453,70542
841,62000
3175,62868
2910,144209
6191,128202
2964,28891
3472,82083
6680,7520
3402,64210
7393,22815
3447,110719
5751,9794
8216,26053
2259,74635
4441,75419
1689,45494
3311,19391
4377,15484
2950,66073
155,199759
2179,114945
1972,37820
1177,20333
279,109472
7677,28643
898,214393
5730,20508
2727,3674
9266,34425
1504,45378
86,129685
2475,169748
824,22434
6946,104525
674,17472
3496,127589
3387,63989
4429,197900
3803,43630
9970,83553
5847,40941
1030,10916
9246,126287
9858,164794
6424,67072
4782,7428
7530,109594
8423,42158
9611,11765
710,71666
8092,19615
3994,89900
2483,108746
2675,129701
4874,11034
2341,75391
7415,51584
9154,324872
68,58472
1867,11789
5581,81730
7030,20457
2270,58771
1785,137057
4310,3664
2983,30233
2098,167793
7391,193686
8106,39287
9616,9971
6366,93622
4543,163182
172,13993
6002,35638
5342,18143
9310,174582
8898,31609
7665,38226
4678,89775
1406,42155
6037,186835
8509,23808
4363,40835
877,5062
1337,154255
4090,124494
5876,66949
6551,203870
4640,20771
7074,155359
1772,224561
2280,73024
8155,23929
7018,231879
5025,10390
5894,21080
2966,53186
2772,50349
4712,52204
931,150992
298,10655
8324,45878
7802,101991
170,41898
2563,4222
1876,45853
9677,124005
3705,14452
8305,109477
4798,83080
2777,350914
8117,78241
9159,37093
5434,70410
2080,41033
2925,15853
9562,17978
8298,16858
6933,66464
6565,114229
9360,8058
9045,36454
8709,95464
4049,195299
1237,73530
8514,189948
8434,32477
6377,153862
8921,3948
1525,10891
3678,157954
2054,45506
940,112960
6049,81086
9127,161202
1224,2850
737,49083
8794,29382
2922,20877
8171,37066
9001,49210
2607,80952
8643,6813
7825,23926
8107,8182
6650,58401
8020,2107
1807,123360
8655,108270
331,12261
4790,112276
7408,172097
9944,64472
7775,26870
3711,49366
9890,104862
9558,133889
7841,18220
2748,89023
7865,71299
2692,51210
9575,31313
8482,51325
7883,50094
7332,5322
733,98575
7239,13374
6560,58767
373,11665
809,2106
2978,137378
4572,203136
1609,54001
2215,152517
4604,42386
5421,166016
2151,44888
2823,16222
3721,14435
9115,52276
626,5750
9956,73449
512,113451
916,31112
5621,125675
8309,7870
3242,6967
6008,349234
1196,25542
8654,51954
9698,9444
2849,25330
9244,59754
6169,25788
6886,123537
3889,87294
3360,3387
4033,36906
4736,92261
5597,29896
4511,37944
9664,2601
1028,138396
36,150279
1286,65007
6707,46063
3992,10662
2915,15530
6578,92731
4444,55508
8658,2770
3648,174206
8906,155741
5611,1249
2149,92874
6478,79605
9849,2478
8835,115678
8486,15730
9716,14506
3553,127958
1542,6178
6323,56914
3758,202272
6085,145440
7534,22049
216,12643
2805,66208
8349,13265
8111,143231
9226,73065
7923,432979
8557,91520
1616,23931
3943,31644
7191,138356
7186,76612
2459,96088
9749,22009
58,97520
7274,11514
9269,151504
9027,6458
7852,19964
6411,55665
9803,59748
9798,47658
6909,143969
1315,26867
8750,2521
6783,69811
143,37358
9132,20439
6546,71159
8932,17234
2668,66321
5065,36822
4123,24365
5126,37552
5834,3091
5835,64293
5141,71226
2673,56707
2539,137117
4211,51955
