Trial,Attempts
0,38243
1,60489
2,79301
3,10630
4,37907
5,69179
6,91497
7,4673
8,39429
9,49039
10,24052
11,74554
12,8994
13,14772
14,72859
15,70658
16,47292
17,30452
18,24023
19,39284
20,34357
21,14255
22,58426
23,5003
24,24938
25,17438
26,38810
27,95419
28,15520
29,5045
30,90986
31,12970
32,68958
33,61662
34,3381
35,14925
36,1819
37,63334
38,109751
39,34409
40,81320
41,49066
42,76509
43,45044
44,8458
45,55009
46,13346
47,52446
48,183844
49,15880
50,88468
51,41674
52,6858
53,180286
54,25161
55,21413
56,88494
57,8966
58,26108
59,34590
60,120609
61,48367
62,53314
63,45677
64,44725
65,33947
66,87219
67,9551
68,80786
69,41736
70,70240
71,68601
72,321225
73,2031
74,16075
75,131726
76,58268
77,10387
78,56020
79,66250
80,5998
81,26109
82,83277
83,79285
84,45305
85,79524
86,9534
87,30057
88,549
89,105797
90,40790
91,50110
92,18757
93,38337
94,40042
95,161299
96,99424
97,14956
98,56676
99,134579
100,70891
101,7078
102,129530
103,37737
104,103957
105,25332
106,877
107,7636
108,99370
109,29105
110,124278
111,159150
112,71249
113,61391
114,15019
115,9168
116,103339
117,39639
118,63728
119,26696
120,544
121,2627
122,1631
123,23037
124,4484
125,59408
126,19949
127,543
128,50756
129,17658
130,167843
131,599
132,8045
133,8607
134,264468
135,20067
136,86393
137,13116
138,46245
139,43358
140,55829
141,6503
142,10638
143,35704
144,115976
145,64987
146,9385
147,121818
148,18779
149,17988
150,16071
151,14224
152,160157
153,39269
154,7290
155,14911
156,2211
157,11407
158,188
159,3497
160,15411
161,80968
162,99633
163,10485
164,4582
165,183
166,10453
167,36026
168,58814
169,7321
170,37435
171,130270
172,14125
173,56579
174,66320
175,76541
176,45832
177,100919
178,50265
179,42227
180,78766
181,102457
182,16161
183,29262
184,16291
185,1233
186,95879
187,6447
188,171675
189,430
190,9744
191,34936
192,36815
193,158099
194,34323
195,133856
196,34900
197,49760
198,12606
199,10097
200,22669
201,27253
202,99695
203,10095
204,36934
205,39827
206,12880
207,123861
208,8772
209,8072
210,26531
211,28685
212,44738
213,28157
214,16351
215,35504
216,2369
217,42294
218,6553
219,45988
220,64800
221,9879
222,215633
223,87605
224,165815
225,27356
226,3437
227,18001
228,1499
229,15942
230,38306
231,6381
232,25362
233,46594
234,77248
235,81336
236,19504
237,31922
238,20683
239,14402
240,56211
241,5401
242,22849
243,31317
244,17822
245,28721
246,14613
247,49255
248,77700
249,15161
250,66888
251,18157
252,731
253,51051
254,118715
255,77456
256,602
257,60780
258,742
259,78007
260,59778
261,62497
262,47018
263,20981
264,39593
265,61662
266,15386
267,13338
268,22527
269,6921
270,27822
271,17573
272,81209
273,50167
274,346
275,7140
276,25703
277,63322
278,86081
279,25141
280,75432
281,54892
282,25559
283,69369
284,41198
285,2064
286,13516
287,18978
288,30075
289,76100
290,74847
291,9192
292,2861
293,115017
294,127206
295,7327
296,16484
297,159586
298,27610
299,15167
300,1546
301,8394
302,81993
303,16729
304,56213
305,22024
306,41545
307,5949
308,4543
309,60267
310,87418
311,71560
312,51459
313,78813
314,5063
315,32243
316,60851
317,30828
318,59965
319,119515
320,15332
321,67835
322,51069
323,46179
324,43992
325,21430
326,6335
327,20098
328,6175
329,52047
330,7832
331,65363
332,68536
333,5762
334,2418
335,48124
336,69366
337,3339
338,46235
339,25937
340,21774
341,61068
342,28758
343,165238
344,36578
345,4823
346,40159
347,18154
348,9023
349,39816
350,45843
351,46960
352,88531
353,19450
354,20446
355,16854
356,2346
357,92683
358,18747
359,137798
360,65607
361,6163
362,112856
363,15520
364,111292
365,95840
366,2022
367,126829
368,14093
369,3252
370,1866
371,80651
372,70076
373,14833
374,69735
375,46185
376,15973
377,102832
378,21188
379,10456
380,11249
381,5189
382,5881
383,17777
384,11433
385,82634
386,12575
387,19917
388,32466
389,96379
390,5640
391,12404
392,36279
393,87759
394,41356
395,182469
396,1864
397,46020
398,14820
399,54672
400,24059
401,20865
402,2994
403,12374
404,3692
405,23428
406,6166
407,29997
408,101707
409,63491
410,67239
411,18610
412,16141
413,335510
414,16294
415,67100
416,44903
417,12731
418,48851
419,7639
420,60312
421,14765
422,16533
423,5681
424,25115
425,50379
426,48444
427,371
428,11842
429,47366
430,14240
431,77080
432,2050
433,16463
434,129959
435,111797
436,30421
437,51297
438,37360
439,1472
440,63321
441,43767
442,36093
443,5450
444,14577
445,40418
446,187
447,133996
448,17027
449,49758
450,81738
451,14845
452,23647
453,17036
454,41733
455,51829
456,22929
457,37178
458,189128
459,4662
460,11264
461,26053
462,92119
463,14095
464,82306
465,20407
466,51614
467,5202
468,52395
469,29076
470,223107
471,1234
472,225393
473,5942
474,24665
475,8647
476,72301
477,126517
478,131741
479,7891
480,20303
481,15716
482,7683
483,43029
484,21221
485,65269
486,6662
487,68970
488,21251
489,50124
490,6925
491,35922
492,12342
493,30023
494,7136
495,107269
496,106967
497,41087
498,59719
499,38256
500,95296
501,34171
502,4202
503,10102
504,69931
505,19570
506,726
507,16321
