Trial,Attempts
6470,43645
2899,24548
7307,424419
3719,29279
5780,141182
8528,52718
1431,16173
3989,101883
4329,825
8991,191206
9689,94324
5697,257878
3489,519621
6799,19149
2977,138205
4428,47719
2167,106115
3953,80388
3453,88316
841,222983
3175,9300
2910,68516
6191,73957
2964,44249
3472,31054
6680,158818
3402,301178
7393,240064
3447,13707
5751,4154
8216,234277
2259,285553
4441,340834
1689,137370
3311,320
4377,124832
2950,103459
155,90629
2179,58552
1972,71399
1177,92922
279,29441
7677,140848
898,74922
5730,33477
2727,211169
9266,73944
1504,53365
86,229323
2475,49217
824,5494
6946,27299
674,64819
3496,76237
3387,266003
4429,83887
3803,21077
9970,21430
5847,86999
1030,403421
9246,82780
9858,31277
6424,7623
4782,10587
7530,168249
8423,153143
9611,403179
710,144908
8092,4967
3994,236814
2483,54709
2675,536563
4874,17304
2341,86598
7415,27903
9154,15735
68,69399
1867,71648
5581,73835
7030,571627
2270,172161
1785,70064
4310,335946
2983,89241
2098,5960
7391,84143
8106,72322
9616,145687
6366,101521
4543,396567
172,211050
6002,692702
5342,88707
9310,11786
8898,304383
7665,32822
4678,37591
1406,67443
6037,712963
8509,49069
4363,252000
877,72797
1337,5701
4090,38001
5876,84198
6551,111190
4640,116979
7074,181904
1772,34705
2280,101931
8155,8513
7018,117471
5025,40270
5894,75006
2966,94708
2772,124181
4712,251576
931,63772
298,462968
8324,151461
7802,531881
170,542739
2563,4409
1876,107830
9677,8711
3705,8456
8305,191223
4798,59999
2777,59644
8117,144550
9159,16246
5434,301913
2080,152263
2925,3596
9562,655294
8298,257628
6933,119916
6565,12168
9360,144024
9045,128982
8709,30158
4049,93047
1237,446669
8514,132575
8434,392653
6377,27437
8921,123211
1525,37623
3678,193700
2054,64495
940,58421
6049,242404
9127,107392
1224,596647
737,220158
8794,30746
2922,358074
8171,155878
9001,41003
2607,127077
8643,315636
7825,463867
8107,65227
6650,222095
8020,825142
1807,24690
8655,196
331,135528
4790,239092
7408,121234
9944,16126
7775,331591
3711,95726
9890,286600
9558,168771
7841,692868
2748,38649
7865,159698
2692,125699
9575,509267
8482,247227
7883,640652
7332,36064
733,35592
7239,139196
6560,22003
373,307846
809,110197
2978,405471
